Color name 	Hex 	Red 	Green 	Blue 	Hue 	Saturation 	Lightness
	#ff9999 	255 	153 	153 	0Åã 	100% 	80%
#ff99cc
	#ff99cc 	255 	153 	204 	330Åã 	100% 	80%
#ff99ff
	#ff99ff 	255 	153 	255 	300Åã 	100% 	80%
#ffcc00
	#ffcc00 	255 	204 	0 	48Åã 	100% 	50%
#ffcc33
	#ffcc33 	255 	204 	51 	45Åã 	100% 	60%
#ffcc66
	#ffcc66 	255 	204 	102 	40Åã 	100% 	70%
#ffcc99
	#ffcc99 	255 	204 	153 	30Åã 	100% 	80%
#ffcccc
	#ffcccc 	255 	204 	204 	0Åã 	100% 	90%
#ffccff
	#ffccff 	255 	204 	255 	300Åã 	100% 	90%
#ffff00
	#ffff00 	255 	255 	0 	60Åã 	100% 	50%
#ffff33
	#ffff33 	255 	255 	51 	60Åã 	100% 	60%
#ffff66
	#ffff66 	255 	255 	102 	60Åã 	100% 	70%
#ffff99
	#ffff99 	255 	255 	153 	60Åã 	100% 	80%
#ffffcc
	#ffffcc 	255 	255 	204 	60Åã 	100% 	90%
#ffffff
	#ffffff 	255 	255 	255 	0Åã 	0% 	100%
